Date,Open,High,Low,Close,Adj Close,Volume
4/6/2021,374.37,384,372.81,380.68,379.19,510000
4/7/2021,380.25,383.97,377.35,382.3,380.8,282800
4/8/2021,385.5,387.01,381.15,383.92,382.42,362200
4/9/2021,382.87,390.43,382.68,390.35,388.82,440600
4/12/2021,391.07,392.57,387.35,390.62,389.09,420000
4/13/2021,392.22,397.33,391.08,394.93,393.39,494900
4/14/2021,394.61,396.27,387.62,390.64,389.11,401400
4/15/2021,392,393.43,388.4,392.99,391.45,454000
4/16/2021,395,396.01,392.31,394.83,393.29,253500
4/19/2021,393.58,399.39,393.58,397.96,396.4,407700
4/20/2021,398.28,402.16,396.51,398.05,396.49,563600
4/21/2021,398.14,398.14,393.59,394.8,393.26,348200
4/22/2021,396.05,400.58,393.5,398.76,397.2,429400
4/23/2021,399.55,401.02,395.5,397.71,396.15,368300
4/26/2021,398.94,402.67,395.61,400.21,398.64,434800
4/27/2021,400.02,403.38,399.49,401.03,399.46,456600
4/28/2021,401.03,408.74,399.47,403.95,402.37,904100
4/29/2021,401.44,419.36,391.26,415.98,414.35,1139000
4/30/2021,415.98,428.78,415.74,422.34,420.69,733900
5/3/2021,426.8,435.67,424.64,433.59,431.89,793500
5/4/2021,430.82,436.63,430,433.99,432.29,744300
5/5/2021,436,436.96,428.1,431.89,430.2,713100
5/6/2021,434.48,436.52,428.44,430.03,428.35,525200
5/7/2021,430.6,434.26,430.6,432.47,430.78,566000
5/10/2021,432.58,435.5,428.34,431.07,429.38,596700
5/11/2021,428.62,430.01,419.49,422.34,420.69,730300
5/12/2021,420,447.5,419.24,425.44,423.78,1772100
5/13/2021,425.28,431.66,422.29,422.4,420.75,594900
5/14/2021,424.31,430.08,423.51,427.29,425.62,636200
5/17/2021,428.2,435.08,428.2,432.86,431.17,713800
5/18/2021,433.78,441.79,432.68,432.86,431.17,695500
5/19/2021,429.36,434.89,424.46,431.95,430.26,564800
5/20/2021,430.3,437.62,428.35,428.94,427.26,1039100
5/21/2021,429.5,432.07,425.74,427.65,425.98,870900
5/24/2021,429.19,433.14,420.69,420.9,419.25,695700
5/25/2021,416.52,422.33,414,421.04,419.39,702400
5/26/2021,421.64,424.64,419.28,420.69,419.04,429300
5/27/2021,421.94,426.14,418.79,423.97,422.31,471700
5/28/2021,421.23,429.4,421.23,426.87,425.2,458400
6/1/2021,430.33,430.94,422.3,423,421.35,434800
6/2/2021,423.62,429.31,422.05,426.2,424.53,552000
6/3/2021,426.24,428.99,424.19,425.12,423.46,418000
6/4/2021,426.25,431.16,425.46,431.14,429.45,516400
6/7/2021,432.08,438.42,430.29,437.92,436.21,519300
6/8/2021,439.99,452.97,439.26,443.36,441.63,684500
6/9/2021,442.86,446.88,442.4,442.71,440.98,331600
6/10/2021,442.93,449.94,442.93,448.43,446.68,446100
6/11/2021,447.94,453.81,447.94,452.96,451.19,459100
6/14/2021,450.58,451.93,445.89,448.16,447.34,473000
6/15/2021,450.15,450.41,444.41,445.76,444.94,404800
6/16/2021,447.02,449.07,445.38,447.59,446.77,626400
6/17/2021,448.89,462.23,448.89,457.2,456.36,595400
6/18/2021,455.98,462.1,453.64,460.19,459.34,1148500
6/21/2021,460.95,465.15,457.83,459.46,458.61,624800
6/22/2021,459.81,462.16,458.24,459.82,458.97,452700
6/23/2021,458.28,460.63,454.64,456.75,455.91,406300
6/24/2021,460.26,466.61,458.46,459.81,458.96,480400
6/25/2021,458,464.56,456.45,457.98,457.14,960600
6/28/2021,458.46,464.3,457.22,463.53,462.68,451400
6/29/2021,463.01,466.66,460.81,463.45,462.6,439200
6/30/2021,465.22,469.25,463.94,466.49,465.63,747800
7/1/2021,466.74,467.61,461.26,466.02,465.16,440500
7/2/2021,468.57,475.57,466.26,474.24,473.37,404000
7/6/2021,469.88,477.85,469.88,476.61,475.73,466400
7/7/2021,477.39,479.27,471.85,478.18,477.3,432300
7/8/2021,474.57,478.57,472.02,474.55,473.68,537500
7/9/2021,476.25,479.67,475.1,477.56,476.68,427200
7/12/2021,480,482.61,478.67,480.11,479.23,383700
7/13/2021,480.04,491.42,479.23,485.68,484.79,476500
7/14/2021,485.19,488.22,482.79,485.32,484.43,280300
7/15/2021,488.2,488.64,482.13,484.84,483.95,454800
7/16/2021,486.44,489.48,481.4,482.68,481.79,420700
7/19/2021,483.35,484.69,473.81,478.49,477.61,578600
7/20/2021,475.83,478.55,471.28,474.97,474.1,593000
7/21/2021,475.49,476.45,465.93,470.37,469.5,615800
7/22/2021,484.99,548.72,484,538.82,537.83,3038100
7/23/2021,541.99,542.52,519.47,525.45,524.48,1342100
7/26/2021,523.82,538.57,522.67,534.32,533.34,660700
7/27/2021,535.52,543.14,534.17,538.01,537.02,499200
7/28/2021,533.18,536.31,523.33,524.57,523.61,546000
7/29/2021,524.97,530.78,524.75,526.17,525.2,449500
7/30/2021,526.19,531.57,523.71,525.49,524.52,348800
8/2/2021,527.37,533.45,522.16,530.36,529.38,330000
8/3/2021,531,543.57,530.56,540.47,539.48,460300
8/4/2021,541.9,542.61,536.11,536.68,535.69,407900
8/5/2021,535.32,538.51,529.37,535.48,534.5,261800
8/6/2021,536.05,537.77,531.65,533.44,532.46,254000
8/9/2021,531.08,533.12,525.45,529.47,528.5,258900
8/10/2021,529.63,530.97,517.72,518.93,517.98,315800
8/11/2021,518,523.49,514.36,515.33,514.38,263900
8/12/2021,514.73,518.74,513.89,516.48,515.53,303400
8/13/2021,515.75,518.66,512.35,517.02,516.07,462000
8/16/2021,518.12,518.19,512.35,513.19,512.25,332200
8/17/2021,513.34,531.6,512.54,527.75,526.78,638400
8/18/2021,525.5,533.78,523.75,525.62,524.65,335700
8/19/2021,523.6,525.15,515.72,518.32,517.37,263400
8/20/2021,518.24,518.36,507.03,509.52,508.58,748300
